#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
49,"Ing. Aurelio Benassini Vizcaino, Sin.","El Salto o Elota","Pacífico Norte","Sinaloa","164.640","815.510","154.540","403.900","141.920","139.739",35
48,"Solís, Gto.","Solís","Lerma-Santiago-Pacífico","Guanajuato","1898.700","1214.140","1892.300","785.540","1887.960","545.988",70
47,"La Soledad, Gto.","La Soledad","Lerma-Santiago-Pacífico","Guanajuato","2209.150","2.371","2207.750","1.857","2203.520","0.634",34
46,"San Juanico, Mich.","La Laguna","Balsas","Michoacán","1604.560","71.690","1603.860","60.545","1602.740","46.147",76
45,"San José Atlanga, Tlax.","Atlanga","Balsas","Tlaxcala","2486.870","59.445","2486.400","54.026","2485.240","41.250",76
44,"La Llave, Qro.","Divino Redentor","Golfo Norte","Querétaro","1891.100","14.414","1890.000","9.312","1888.350","2.247",24
43,"La Laguna, Hgo.","Tejocotal","Golfo Centro","Hidalgo","2184.000","45.000","2183.000","43.530","2174.400","4.007",9
42,"Las Lajas, Chih.","Las Lajas","Río Bravo","Chihuahua","1561.620","106.547","1558.700","83.266","1552.920","46.478",56
41,"La Fragua, Coah.","La Fragua","Río Bravo","Coahuila de Zaragoza","304.680","85.380","300.300","47.295","299.650","42.146",89
40,"Laguna de Yuriria, Gto.","B. de Tavamatacheo","Lerma-Santiago-Pacífico","Guanajuato","1731.400","325.195","1730.920","278.789","1729.130","123.766",44
39,"Laguna de Tuxpan, Gro.","Laguna de Tuxpan","Balsas","Guerrero","743.350","19.503","742.840","17.647","741.720","13.694",78
38,"Laguna del Fresno, Mich.","Laguna del Fresno","Lerma-Santiago-Pacífico","Michoacán","2057.000","13.132","2055.980","10.299","2052.890","3.038",30
37,"Canseco, Ver.","Laguna de Catemaco","Golfo Centro","Veracruz de Ignacio de la Llave","333.500","252.700","332.700","193.020","331.830","129.000",67
36,"Luis Donaldo Colosio, Sin.","Huites","Pacífico Norte","Sinaloa","290.000","4568.000","270.000","2908.100","257.030","2102.000",72
35,"Lago de Chapala, Jal.","Chapala","Lerma-Santiago-Pacífico","Jalisco","99.000","9279.710","98.000","8126.410","94.390","4103.650",51
34,"Laguna de Amela, Col.","Tecoman","Lerma-Santiago-Pacífico","Colima","7.640","41.300","7.390","38.343","7.110","35.076",92
33,"Lázaro Cárdenas, Dgo.","El Palmito","Cuencas Centrales del Norte","Durango","1632.000","4278.540","1622.460","2957.608","1619.680","2637.380",89
32,"La Colonia, Jal.","La Colonia","Lerma-Santiago-Pacífico","Jalisco","103.400","6.500","103.000","5.800","101.260","1.889",33
31,"La Calera, Gro.","La Calera","Balsas","Guerrero","122.620","34.250","118.000","9.393","117.280","7.392",79
30,"Endhó, Hgo.","Endó","Aguas del Valle de México","Hidalgo","2020.000","208.000","2018.000","182.900","2012.540","118.792",65
29,"Emilio López Zamora, B.C.","Ensenada","Península de Baja California","Baja California","25.260","6.342","19.890","2.732","19.940","2.754",101
28,"Gonzalo N. Santos, S.L.P.","El Peaje","Cuencas Centrales del Norte","San Luis Potosí","2047.870","8.995","2044.850","6.685","2031.490","0.761",11
27,"Cañada del Lobo, S.L.P.","","Cuencas Centrales del Norte","San Luis Potosí","1962.150","1.834","1958.800","1.010","1955.190","0.412",41
26,"El Cazadero, Zac.","El Cazadero","Cuencas Centrales del Norte","Zacatecas","1919.940","44.680","1916.000","22.178","1914.640","16.515",75
